Player,Country,Position,Goals,Minutes Played,Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Average Speed (km/h),High Speed Running,Sprints,Total Distance (m),Attacking Impact Score,Passing Impact Score,Defensive Impact Score,Movement Impact Score,Goalkeeping Impact Score,Cluster,Player Archetype,Overall Performance Score,Performance Rating,Goalkeeping Rating
Lionel Messi,ARG,FW,8.0,712.0,4,19,34,24,16,18,0,6.16,1.3,34,332,261,79,41,41,22,32,63,5,80,0,23,133,20,2,14,0,0,0,4,,,,200,45,101,54,126,74,4,113,147,679,4.55,379,156,46140.01,26.150583385910902,10.3973985579964,4.91575288773669,7.114059340201774,,4,Tournament Superstars,3.2526656796465256,100.0,
Lionel Mpasi,COD,GK,0.0,409.0,0,0,0,0,0,0,0,0.0,0.0,0,139,94,68,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,83.0,70.0,30,0,0,30,17,13,0,0,5,248,2.77,37,7,18909.7,-1.3243189297858935,-0.5008194498975737,-1.631956563153904,-1.6067775228504182,2.6104263084416504,-1,Goalkeeper,0.24678162121661817,7.6,56.1
Lisandro Martinez,ARG,DF,1.0,664.0,1,2,4,25,2,2,0,0.2,5.09,0,424,401,95,3,0,2,9,67,1,100,0,8,23,10,5,4,0,0,0,0,,,,40,2,1,37,15,25,0,3,63,799,4.35,380,127,51232.0,2.1029704379702263,4.396752997555879,0.4255924942606875,1.5571659900037618,,3,Complete Midfielders,1.1411706656217961,35.1,
Livano Comenencia,CUW,MF,1.0,253.0,0,2,5,20,2,3,0,0.31,3.25,0,62,50,81,1,100,2,4,50,0,0,0,13,102,19,4,1,1,0,0,0,,,,69,6,42,21,50,19,1,11,44,160,6.88,342,117,28808.06,1.8753925850274071,0.4550792527110874,1.6507520863161855,1.1484792694111536,,1,Dynamic Attackers,0.923722176409278,28.4,
Logan Costa,CPV,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,
Logan Rogerson,NZL,FW,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,
Louicius Deedson,HAI,FW,0.0,129.0,0,0,2,0,1,1,0,0.05,0.0,1,15,13,87,5,20,5,5,60,0,0,0,3,30,4,3,1,0,0,0,1,,,,41,21,16,4,15,26,0,14,14,54,5.91,145,67,13276.69,-0.6424279174048011,0.2073989876806903,-0.694145455034177,-0.6589055639953304,,0,Balanced Contributors,0.4749638518910214,14.6,
Luc De Fougerolles,CAN,DF,0.0,421.0,0,1,3,0,3,0,1,0.17,0.0,0,191,170,89,1,0,0,6,67,1,0,0,17,41,22,8,8,2,0,0,0,,,,43,6,4,33,25,18,2,7,32,404,6.37,528,174,44379.43,0.1262791590910369,1.0999559652813615,2.6132374479545413,1.5477845705858362,,3,Complete Midfielders,1.0288197376608794,31.6,
Luca Jaquez,SUI,DF,0.0,89.0,0,0,0,0,0,0,0,0.0,0.0,0,41,31,76,2,0,1,4,50,0,0,0,3,15,4,3,1,0,0,0,0,,,,20,9,9,2,2,18,1,7,28,88,2.18,96,39,9611.83,-1.3243189297858935,-0.5839171372432239,-0.860363129196385,-1.5721751620668845,,2,Limited Tournament Impact,0.31869734280698897,9.8,
Luca Zidane,ALG,GK,0.0,302.0,0,0,0,0,0,0,0,0.0,0.0,0,104,91,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,34.0,32.0,8,0,0,8,6,2,0,1,3,199,1.99,42,13,13382.13,-1.3243189297858935,-0.9292899369872856,-1.631956563153904,-2.2411808389763808,0.6711600018301562,-1,Goalkeeper,0.17632133426840008,5.4,27.6
Lucas Bergvall,SWE,MF,0.0,207.0,1,0,2,0,2,0,1,0.68,0.0,0,88,80,91,2,0,2,2,100,0,0,0,10,60,13,7,4,1,0,0,0,,,,52,7,16,29,43,9,3,14,40,193,6.93,283,89,23862.93,0.4100088646311625,0.266142611022611,1.14500663160182,0.6673095877919596,,0,Balanced Contributors,0.7774783648886018,23.9,
Lucas Digne,FRA,DF,0.0,459.0,0,1,2,0,0,2,0,0.03,0.0,0,267,237,89,16,6,0,8,50,1,100,0,27,52,4,5,2,0,0,0,0,,,,106,48,34,24,28,78,5,35,45,563,4.42,509,187,47379.47,-0.4457692231646022,3.3815404821163617,1.217274191952751,3.73210726608535,,3,Complete Midfielders,1.175159888484251,36.1,
Lucas Hernandez,FRA,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,
Lucas Herrington,AUS,DF,0.0,232.0,0,0,0,0,0,0,0,0.0,0.0,0,106,101,95,0,0,0,0,0,0,0,0,4,11,4,2,0,0,0,0,0,,,,34,0,0,34,7,27,0,3,41,232,2.98,210,41,23286.35,-1.3243189297858935,-0.8206134561101085,-1.0144285884708657,-0.671284545800063,,2,Limited Tournament Impact,0.33779929156447597,10.4,
Lucas Mendes,QAT,DF,0.0,13.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,,,,4,4,0,0,2,2,0,0,0,0,2.35,17,9,1535.0,-1.3243189297858935,-2.4642577606874845,-1.4526419183588133,-2.804395051127315,,2,Limited Tournament Impact,0.0417422090949246,1.3,
Lucas Paqueta,BRA,MF,0.0,255.0,1,1,5,0,2,3,1,0.24,0.0,1,190,162,85,5,0,2,8,63,1,100,0,9,104,17,3,6,0,0,0,0,,,,192,22,89,81,110,82,1,20,78,412,5.17,335,123,27561.36,1.2899273832439748,2.315130811181023,2.160747824324697,4.221659845099627,,3,Complete Midfielders,1.2774432716951325,39.3,
Luis Chavez,MEX,MF,0.0,31.0,0,0,0,0,0,0,0,0.0,0.0,0,28,28,100,1,0,0,1,100,0,0,0,1,4,3,1,0,0,0,0,0,,,,16,0,6,10,2,14,0,4,4,61,1.09,42,16,2876.74,-1.3243189297858935,-0.4710949383361016,-1.340537028118341,-2.4365688838740893,,2,Limited Tournament Impact,0.22934204660598534,7.1,
Luis Diaz,COL,FW,1.0,525.0,1,7,19,5,15,4,0,1.47,0.68,3,166,145,87,6,17,7,14,50,10,100,0,29,103,11,7,9,0,0,0,9,,,,295,148,121,26,130,165,11,116,104,415,6.05,510,248,52994.8,8.102361306244807,5.093798285697896,3.5425922194074078,10.05181104418232,,5,Elite All-Round Performers,2.219548526355088,68.2,
Luis Mejia,PAN,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,-1.2038479457474982,-1,Goalkeeper,0.0,0.0,0.0
Luis Romo,MEX,MF,1.0,284.0,1,1,3,33,1,2,0,0.1,10.05,0,106,93,88,2,50,0,5,40,0,0,0,14,71,12,1,3,0,0,0,0,,,,153,41,70,42,119,34,2,21,62,242,5.53,483,143,32815.01,2.002449621207901,0.3555002992720745,1.282512969676707,3.5808586043993853,,1,Dynamic Attackers,1.0265906246960412,31.6,
Luis Suarez,COL,FW,0.0,365.0,1,0,9,0,7,2,2,0.96,0.0,0,53,39,74,3,33,2,2,50,0,0,0,13,106,15,7,8,1,0,0,1,,,,191,81,108,2,167,24,5,59,52,148,5.34,267,155,32718.6,2.86174121816548,-0.2741870536874723,2.6530999195830938,4.593619118580379,,1,Dynamic Attackers,1.2038302308840803,37.0,
Luiz Henrique,BRA,FW,0.0,38.0,0,0,0,0,0,0,0,0.0,0.0,0,12,12,100,0,0,0,3,100,0,0,0,2,10,3,0,1,0,0,0,0,,,,3,0,3,0,0,3,0,3,6,27,1.2,60,26,3896.86,-1.3243189297858935,-0.490542187790893,-1.039677773991476,-2.642641327580236,,2,Limited Tournament Impact,0.24553431147550595,7.5,
Luka Modric,CRO,MF,0.0,360.0,1,0,1,0,1,0,1,0.05,0.0,7,248,225,91,9,44,2,9,44,2,100,0,16,48,12,4,3,1,0,0,0,,,,141,14,47,80,114,27,1,13,50,509,6.08,401,122,36541.56,0.0805749615989174,3.5968056824015013,1.1522773075920787,3.193950929751244,,3,Complete Midfielders,1.1731116717120726,36.1,
Luka Sucic,CRO,MF,0.0,23.0,0,0,1,0,0,1,0,0.04,0.0,0,3,1,33,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,0,0,,,,5,3,1,1,4,1,1,1,3,10,1.76,31,17,2774.75,-0.9884170724416448,-2.093081187809172,-1.4920725960628285,-2.649061431099748,,2,Limited Tournament Impact,0.08802072191415844,2.7,
Luka Vuskovic,CRO,DF,0.0,71.0,0,0,0,0,0,0,0,0.0,0.0,0,43,38,88,0,0,0,1,0,0,0,0,0,3,2,1,1,0,0,0,0,,,,8,0,1,7,5,3,0,0,2,94,1.47,81,21,7008.12,-1.3243189297858935,-1.3224338971383824,-1.3034704944902398,-2.4528272178586845,,2,Limited Tournament Impact,0.16586584762848627,5.1,
Lukas Cerv,CZE,MF,0.0,172.0,0,2,3,0,1,2,0,0.06,0.0,0,42,36,86,1,0,1,2,0,1,100,0,6,27,11,3,3,0,0,0,0,,,,67,2,28,37,54,13,0,4,18,97,4.24,204,53,18226.25,0.09905948056712,-0.1869052379818997,0.234822338018892,-0.3123161801037959,,0,Balanced Contributors,0.5835113057952299,17.9,
Lukas Hornicek,CZE,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,-1.2038479457474982,-1,Goalkeeper,0.0,0.0,0.0
Lukas Provod,CZE,MF,0.0,137.0,0,0,1,0,0,1,0,0.05,0.0,0,48,37,77,2,50,1,3,100,0,0,0,9,49,5,2,1,0,0,0,1,,,,50,31,15,4,24,26,2,24,20,109,6.94,228,88,16011.22,-0.9806343567918576,0.1879770400821535,-0.0481157186107991,0.2711163398100332,,0,Balanced Contributors,0.5795258937739168,17.8,
Lutsharel Geertruida,NED,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,
Lyle Foster,RSA,FW,0.0,59.0,0,0,1,0,1,0,1,0.07,0.0,0,5,1,20,0,0,0,1,0,0,0,0,1,25,1,0,1,0,0,0,0,,,,20,10,8,2,12,8,0,6,7,15,1.49,66,16,5968.5,-0.7488495407898266,-2.1903520243097887,-1.0589618874959326,-2.223351615014425,,2,Limited Tournament Impact,0.15696120977955463,4.8,
Lyndon Dykes,SCO,FW,0.0,49.0,0,0,1,0,1,0,1,0.15,0.0,0,11,7,64,1,0,0,4,25,0,0,0,3,22,3,2,0,0,0,0,0,,,,27,11,16,0,24,3,0,13,11,27,4.83,78,34,5899.41,-0.686587815591528,-1.2633506811726845,-1.0164443808262678,-1.534962422001501,,2,Limited Tournament Impact,0.27581688350725864,8.5,
Maghnes Akliouche,FRA,MF,0.0,10.0,0,0,0,0,0,0,0,0.0,0.0,0,7,5,71,2,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,,,,11,3,5,3,7,4,0,2,4,20,1.18,24,5,1369.75,-1.3243189297858935,-1.721479932647335,-1.4201210684161072,-2.706394482913673,,2,Limited Tournament Impact,0.10844981030576803,3.3,
Mahdy Soliman,EGY,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,-1.2038479457474982,-1,Goalkeeper,0.0,0.0,0.0
Mahmoud Abunada,QAT,GK,0.0,310.0,0,0,0,0,0,0,0,0.0,0.0,0,93,50,54,0,0,0,8,0,0,0,1,0,0,0,1,1,1,0,0,0,16.0,124.0,103.0,7,0,0,7,4,3,0,0,3,162,3.1,20,2,16005.91,-1.3243189297858935,-0.7330044648728047,-1.459900097840634,-2.24011355559284,3.8978016534289632,-1,Goalkeeper,0.2086704059033363,6.4,75.1
Mahmoud Almardi,JOR,FW,0.0,152.0,0,1,1,0,1,0,0,0.02,0.0,1,39,32,82,7,14,3,5,60,0,0,0,6,90,16,4,2,0,0,0,0,,,,80,28,48,4,49,31,4,17,37,105,7.38,328,87,18861.43,-0.7248874889175315,0.223814226245778,1.0688452754817768,1.3304381176978264,,0,Balanced Contributors,0.7641728161164308,23.5,
Mahmoud Saber,EGY,MF,1.0,51.0,0,1,3,33,1,2,0,0.16,6.15,0,34,30,88,1,100,1,1,0,0,0,0,3,10,1,2,1,1,0,0,0,,,,50,2,14,34,26,24,0,3,10,80,2.74,123,30,6589.64,1.324908172178341,-0.4474830425714733,-1.1005481233607166,-1.2958033926235888,,0,Balanced Contributors,0.41814448477515237,12.9,
Malick Thiaw,GER,DF,0.0,50.0,0,0,0,0,0,0,0,0.0,0.0,0,38,33,87,0,0,0,0,0,0,0,0,3,7,3,1,1,0,0,0,0,,,,1,0,0,1,0,1,0,2,12,80,3.0,69,20,5108.07,-1.3243189297858935,-1.459799093444777,-1.0106055896752058,-2.397028839054196,,2,Limited Tournament Impact,0.18743231890581577,5.8,
Malik Tillman,USA,MF,2.0,415.0,1,4,8,25,5,3,0,0.73,2.75,10,163,129,79,15,27,7,18,50,2,100,0,15,115,25,3,14,1,0,0,0,,,,136,28,73,35,93,43,7,68,118,418,6.45,607,215,44391.65,5.0687582667211135,4.263068740200202,4.525731096847227,5.640466890187608,,5,Elite All-Round Performers,1.8835292126446328,57.9,
Malo Gusto,FRA,DF,0.0,48.0,0,0,0,0,0,0,0,0.0,0.0,0,32,31,97,0,0,0,0,0,1,100,0,1,9,5,2,0,0,0,0,0,,,,21,7,7,7,4,17,0,5,6,67,3.91,55,22,5482.73,-1.3243189297858935,-0.4892503989152974,-1.1619450682129857,-1.9142037778452108,,2,Limited Tournament Impact,0.2761887137126116,8.5,
Mamadou Sarr,SEN,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,
Manu Kone,FRA,MF,0.0,426.0,0,2,6,0,1,5,0,0.19,0.0,0,263,242,92,1,0,2,3,100,2,50,0,24,91,23,6,7,1,0,0,0,,,,90,3,24,63,63,27,1,12,96,586,4.6,590,110,45337.05,1.1145477682496527,2.4921225529968067,3.493042964815257,2.903463584344125,,3,Complete Midfielders,1.3394692014465546,41.2,
Manuel Akanji,SUI,DF,0.0,673.0,0,1,1,0,1,0,0,0.18,0.0,0,479,444,93,0,0,0,8,88,8,100,0,15,44,21,4,4,0,0,0,0,,,,108,2,6,100,56,52,1,4,75,999,5.6,631,187,62661.14,-0.6627494913073609,5.937069638149948,1.772030648977502,4.261223355060238,,3,Complete Midfielders,1.4518318084455037,44.6,
Manuel Neuer,GER,GK,0.0,442.0,0,0,0,0,0,0,0,0.0,0.0,0,129,118,91,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,7.0,61.0,45.0,28,0,0,28,19,9,0,0,5,256,3.47,82,19,25681.69,-1.3243189297858935,-0.5980337075309934,-1.287843632527364,-1.3408234664679306,1.1276467584873962,-1,Goalkeeper,0.28884626795897256,8.9,34.3
Manuel Ugarte,URU,MF,0.0,197.0,0,1,3,0,0,3,0,0.09,0.0,0,136,118,87,0,0,0,4,50,1,0,0,3,40,17,1,0,0,0,0,0,,,,93,1,20,72,73,20,0,4,61,296,6.4,239,72,21107.39,-0.0943019345207792,0.2638479126152702,0.0453193077940506,1.1901436227522848,,0,Balanced Contributors,0.6807423745189036,20.9,
Marawan Attia,EGY,MF,0.0,495.0,1,1,4,0,1,3,0,0.05,0.0,0,357,313,88,8,38,0,15,47,8,100,0,18,182,29,8,1,2,0,0,0,,,,245,8,79,158,140,105,0,22,119,749,6.85,829,260,56580.27,0.5586799536640336,5.875506156637564,3.464755286847951,7.900348243956536,,5,Elite All-Round Performers,1.8720827667564974,57.6,
Marc Cucurella,ESP,DF,0.0,717.0,2,3,4,0,3,1,1,0.3,0.0,0,389,358,92,13,23,1,12,50,2,100,0,18,98,22,7,2,1,0,0,3,,,,342,139,109,94,73,269,15,105,145,809,6.25,774,304,74687.76,1.8401281260134972,5.040544672238272,2.274841537040022,13.114197013100956,,5,Elite All-Round Performers,2.041349547024659,62.8,
Marc Guehi,ENG,DF,0.0,664.0,0,0,1,0,1,0,1,0.15,0.0,0,455,442,97,0,0,2,8,88,4,75,0,6,18,7,2,11,1,0,0,0,,,,79,1,2,76,39,40,0,3,32,814,5.94,504,144,52622.08,-0.686587815591528,5.058591256599376,1.2651713189918232,2.487733892570497,,3,Complete Midfielders,1.2286635156047463,37.8,
Marc Pubill,ESP,DF,0.0,3.0,0,0,0,0,0,0,0,0.0,0.0,0,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,4,1.04,6,3,455.66,-1.3243189297858935,-1.6365531372146325,-1.631956563153904,-3.077682365228865,,2,Limited Tournament Impact,0.07235123270240373,2.2,
Marcel Sabitzer,AUT,MF,1.0,412.0,0,2,5,20,1,4,0,0.46,2.19,9,126,94,75,30,33,3,16,69,1,100,0,26,137,10,2,3,1,0,0,1,,,,121,47,66,8,48,73,7,80,76,324,6.03,488,233,41363.96,2.4966799062094363,4.237249451214579,2.638473297257012,4.917334833872711,,5,Elite All-Round Performers,1.5588168584668385,47.9,
Marcio Rosa,CPV,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,-1.2038479457474982,-1,Goalkeeper,0.0,0.0,0.0
Marco Friedl,AUT,DF,0.0,30.0,0,0,0,0,0,0,0,0.0,0.0,0,31,30,97,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,,,,1,0,0,1,0,1,0,1,0,64,1.36,30,12,2757.1,-1.3243189297858935,-1.4203251489489692,-1.5260388157850056,-2.828265850193888,,2,Limited Tournament Impact,0.11424800575544235,3.5,
Marco Pasalic,CRO,FW,0.0,114.0,0,2,3,0,3,0,0,0.52,0.0,1,37,23,62,12,8,8,9,89,2,50,0,5,40,7,0,2,0,0,0,2,,,,42,21,17,4,9,33,6,33,32,115,5.44,142,82,12958.46,0.4615498369548251,2.089522375863738,-0.1018666658717486,0.2643910648655028,,0,Balanced Contributors,0.7741503922841921,23.8,
Marcos Llorente,ESP,DF,0.0,217.0,1,0,0,0,0,0,0,0.0,0.0,0,152,142,93,6,33,1,5,80,0,0,0,12,43,12,2,1,0,0,0,0,,,,57,19,16,22,15,42,3,22,35,324,2.77,218,94,22236.39,-0.9160271656025613,1.313308152433713,0.5034956089832879,0.5536328142408079,,0,Balanced Contributors,0.7404976487221353,22.8,
Marcos Senesi,ARG,DF,0.0,100.0,0,0,2,0,2,0,1,0.84,0.0,0,73,70,96,0,0,0,1,0,0,0,0,0,3,2,0,2,0,0,0,0,,,,12,0,1,11,2,10,1,1,7,155,0.94,86,25,9406.52,0.1262405508444273,-0.9954351802936522,-1.1314140291769696,-2.1495736784041237,,2,Limited Tournament Impact,0.2788677846228642,8.6,
Marcus Holmgren Pedersen,NOR,DF,1.0,273.0,0,1,1,100,1,0,0,0.16,6.1,0,107,87,81,7,43,0,4,0,0,0,0,7,50,12,3,1,0,0,0,0,,,,62,25,18,19,15,47,4,15,33,213,4.34,322,137,29767.17,1.5234261189736855,0.1057486478855621,0.269485261182092,1.1345636234511274,,0,Balanced Contributors,0.7462575041850691,22.9,
Marcus Rashford,ENG,FW,1.0,209.0,0,3,9,11,7,2,2,0.94,1.06,0,84,73,87,16,13,5,16,75,1,100,0,1,47,3,5,1,0,0,0,1,,,,120,70,37,13,30,90,13,58,63,226,4.57,232,117,22644.71,3.889530672654836,3.3373954155644454,-0.6919898968734082,3.552432088090299,,1,Dynamic Attackers,1.1300732434103404,34.7,
Marcus Thuram,FRA,FW,0.0,2.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,3,0,0,3,0,0,0,0,0,1.18,5,2,295.8,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.013473255397471,,2,Limited Tournament Impact,0.01175646240931641,0.4,
Marin Pongracic,CRO,DF,0.0,311.0,0,0,1,0,1,0,1,0.05,0.0,0,200,182,91,0,0,0,1,0,1,100,0,6,13,7,3,0,0,0,0,0,,,,17,2,1,14,11,6,0,2,28,423,4.19,280,102,28983.18,-0.7644149720894012,0.8936041107713991,-0.6828556908415514,-0.3378946709039101,,0,Balanced Contributors,0.5437901225512078,16.7,
Mario Pasalic,CRO,MF,0.0,158.0,0,1,4,0,1,3,1,0.36,0.0,0,50,45,90,0,0,0,1,100,0,0,0,7,23,8,2,0,0,0,0,1,,,,31,3,17,11,23,8,0,9,22,119,6.43,218,78,16317.24,0.636821767471034,-0.4466271986981508,-0.4481351546590578,-0.576526545121334,,0,Balanced Contributors,0.49984038789374896,15.4,
Mark Flekken,NED,GK,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,-1.2038479457474982,-1,Goalkeeper,0.0,0.0,0.0
Mark Mckenzie,USA,DF,0.0,104.0,0,0,0,0,0,0,0,0.0,0.0,0,51,47,92,0,0,0,1,0,0,0,0,2,9,1,1,1,0,0,0,0,,,,2,0,0,2,1,1,0,0,8,104,1.3,148,50,11338.0,-1.3243189297858935,-1.218055777987802,-1.173945020786909,-2.224301164440889,,2,Limited Tournament Impact,0.20017905657538218,6.2,
Markhus Lacroix,HAI,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,
Marko Arnautovic,AUT,FW,2.0,173.0,0,3,3,67,3,0,0,1.31,1.53,0,32,25,78,1,0,0,0,0,0,0,0,5,35,1,3,1,1,0,0,5,,,,25,17,8,0,19,6,5,25,30,75,5.44,156,57,15762.88,3.1866447818241164,-1.533836336095721,-0.6988872281262796,-0.3999342599481985,,0,Balanced Contributors,0.4936426171904246,15.2,
Marko Farji,IRQ,FW,0.0,62.0,0,0,0,0,0,0,0,0.0,0.0,0,11,7,64,2,50,1,1,100,0,0,0,2,34,2,0,2,0,0,0,0,,,,40,19,19,2,9,31,2,5,17,36,4.55,96,30,6975.47,-1.3243189297858935,-0.3733325063347218,-0.6632660642776493,-1.094212311846695,,0,Balanced Contributors,0.38255987015120735,11.8,
Marko Stamenic,NZL,MF,0.0,302.0,0,0,3,0,1,2,0,0.09,0.0,0,171,156,91,2,50,2,9,44,1,100,0,10,67,18,4,0,1,0,0,0,,,,98,6,26,66,66,32,0,9,53,364,6.52,415,133,32898.29,-0.3689115128469793,2.41589794549669,0.8423141895859848,2.1316169500328805,,3,Complete Midfielders,0.9720609242929412,29.9,
Marquinhos,BRA,DF,0.0,520.0,0,0,2,0,2,0,1,0.21,0.0,0,380,367,97,1,100,0,4,75,6,100,0,11,45,12,0,2,0,0,0,1,,,,59,3,2,54,32,27,0,3,30,785,5.68,453,141,49331.59,-0.3640705350921742,5.2185051497513655,0.6353987117028073,1.87254991491097,,3,Complete Midfielders,1.1544972707975707,35.5,
Marten De Roon,NED,MF,0.0,11.0,0,0,0,0,0,0,0,0.0,0.0,0,1,1,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,1,0,0,1,1,0,0,0,0,2,1.75,23,4,1374.64,-1.3243189297858935,-1.6449990285391731,-1.6208753848764237,-2.946761380516398,,2,Limited Tournament Impact,0.0804569371393345,2.5,
Martin Baturina,CRO,MF,1.0,344.0,0,1,3,33,0,3,0,0.1,10.18,2,93,80,86,10,20,8,8,50,1,100,0,17,119,8,1,14,0,0,0,0,,,,119,40,62,17,59,60,3,53,74,240,6.58,489,175,37805.67,1.7584103033667235,2.495046789081328,3.647605665851975,3.8612258968082607,,3,Complete Midfielders,1.4345056646109358,44.1,
Martin Erlic,CRO,DF,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,-1.3243189297858935,-2.4642577606874845,-1.631956563153904,-3.2142549945655188,,2,Limited Tournament Impact,0.0,0.0,
Martin Experience,HAI,DF,0.0,306.0,0,0,1,0,0,1,0,0.01,0.0,0,111,93,84,6,0,1,6,33,3,100,0,26,91,26,7,6,0,0,0,0,,,,116,41,45,30,32,84,1,25,47,243,6.65,447,187,33997.02,-1.0117652193910067,1.6402592113909102,3.630397040576341,3.059725135811039,,3,Complete Midfielders,1.21858638991494,37.5,
